url,Property ID,Price,State of the property,Availability,Number of bedrooms,Livable surface,Furnished,Attic,Garage,Number of garages,Kitchen equipment,Kitchen type,Number of bathrooms,Number of showers,Number of toilets,Type of heating,Type of glazing,Elevator,Number of facades,Garden,Surface garden,Terrace,Surface terrace,Total land surface,Swimming pool,type,postal_code,city,Region,province,price_per_sqm,Price_per_sqm_land
https://immovlan.be/en/detail/residence/for-sale/5660/aublain/vbd45573,vbd45573,344500.0,,,4.0,143.0,0.0,,1.0,,,,1.0,,2.0,Not specified,,0.0,,0.0,,0.0,,435.0,,residence,5660,aublain,Wallonia,Namur,2409.090909090909,791.9540229885057
https://immovlan.be/en/detail/residence/for-sale/6747/chatillon/vbd17658,vbd17658,399900.0,New,,3.0,147.0,0.0,,1.0,1.0,Fully equipped,Western kitchen,1.0,1.0,2.0,Hot air,Triple glass,0.0,3.0,1.0,216.0,1.0,9.0,409.0,0.0,residence,6747,chatillon,Wallonia,Luxembourg,2720.408163265306,977.7506112469438
https://immovlan.be/en/detail/investment-property/for-sale/7000/mons/vbd33383,vbd33383,190000.0,,,1.0,,,,,,,,2.0,,,Gas,Double glass,,,,,,,95.0,,investment-property,7000,mons,Wallonia,Hainaut,,2000.0
https://immovlan.be/en/detail/apartment/for-sale/4000/liege/vbc90738,vbc90738,258252.0,New,,1.0,73.0,,,,,,,1.0,,1.0,,,,,0.0,,1.0,9.0,,,apartment,4000,liege,Wallonia,Liege,3537.698630136986,
https://immovlan.be/en/detail/apartment/for-sale/5590/ciney/vbd47014,vbd47014,275000.0,,,3.0,121.0,0.0,,,,,,,1.0,1.0,Electricity,,1.0,,0.0,,1.0,,,,apartment,5590,ciney,Wallonia,Namur,2272.7272727272725,
https://immovlan.be/en/detail/residence/for-sale/6687/bertogne/vbd07771,vbd07771,80000.0,To be renovated,On contract,1.0,60.0,0.0,1.0,1.0,1.0,,,,,1.0,Not specified,,0.0,4.0,1.0,,0.0,,807.0,,residence,6687,bertogne,Wallonia,Luxembourg,1333.3333333333333,99.13258983890954
https://immovlan.be/en/detail/apartment/for-sale/4430/ans/vaz50060,vaz50060,284700.0,New,,2.0,99.0,,,,,,,1.0,,,,,,,,,1.0,6.0,,,apartment,4430,ans,Wallonia,Liege,2875.757575757576,
https://immovlan.be/en/detail/apartment/for-sale/7000/mons/vbb60644,vbb60644,210000.0,New,,1.0,68.0,,,,,,,,1.0,1.0,,,,,1.0,,1.0,6.0,,,apartment,7000,mons,Wallonia,Hainaut,3088.235294117647,
https://immovlan.be/en/detail/residence/for-sale/9800/deinze/rbu65316,rbu65316,394500.0,New,,4.0,174.0,,,1.0,1.0,,,,,,,Double glass,,3.0,1.0,,1.0,,267.0,,residence,9800,deinze,Flanders,East Flanders,2267.2413793103447,1477.5280898876404
https://immovlan.be/en/detail/residence/for-sale/8530/harelbeke/rbu50783,rbu50783,165000.0,,On contract,2.0,126.0,,1.0,,,,,1.0,,1.0,Gas,,0.0,2.0,1.0,,0.0,,204.0,,residence,8530,harelbeke,Flanders,West Flanders,1309.5238095238096,808.8235294117648
https://immovlan.be/en/detail/residence/for-sale/5001/belgrade/vbc54875,vbc54875,399000.0,New,From 30/05/2026,3.0,159.0,0.0,,,,Not equipped,,1.0,,2.0,Gas,,0.0,3.0,1.0,,1.0,,483.0,,residence,5001,belgrade,Wallonia,Namur,2509.433962264151,826.0869565217391
https://immovlan.be/en/detail/apartment/for-sale/8400/oostende/rbu60263,rbu60263,349000.0,,,,70.0,,,,,,,,,,,,1.0,2.0,0.0,,1.0,,,1.0,apartment,8400,oostende,Flanders,West Flanders,4985.714285714285,
https://immovlan.be/en/detail/development-site/for-sale/3920/lommel/rbu49574,rbu49574,440000.0,,,,,,,,,,,,,,,,,,,,,,707.0,,development-site,3920,lommel,Flanders,Limburg,,622.3479490806224
https://immovlan.be/en/detail/residence/for-sale/6840/neufchateau/vbd20488,vbd20488,529000.0,Excellent,Immediately,5.0,195.0,0.0,1.0,1.0,1.0,Super equipped,,1.0,1.0,3.0,Fuel oil,Double glass,0.0,4.0,1.0,550.0,1.0,35.0,932.0,0.0,residence,6840,neufchateau,Wallonia,Luxembourg,2712.8205128205127,567.5965665236051
https://immovlan.be/en/detail/residence/for-sale/9870/olsene/rbu60203,rbu60203,473000.0,New,Immediately,3.0,160.0,0.0,1.0,1.0,1.0,Super equipped,,1.0,1.0,2.0,Hot air,Double glass,0.0,3.0,1.0,,1.0,,350.0,0.0,residence,9870,olsene,Flanders,East Flanders,2956.25,1351.4285714285713
